plate	well	depth	expt	round	sample	phage_library	notes	ID
2	C6	1.0	027i	R3i	1+.C6	alpaca		02-C6
2	C7	1.0	027i	R3i	1+.C7	alpaca		02-C7
2	C8	1.0	027i	R3i	1+.C8	alpaca		02-C8
2	C9	1.0	027i	R3i	1+.C9	alpaca		02-C9
2	C10	1.0	027i	R3i	1+.C10	alpaca		02-C10
2	C11	1.0	027i	R3i	1+.C11	alpaca		02-C11
2	C12	1.0	027i	R3i	1+.C12	alpaca		02-C12
2	D1	1.0	027i	R3i	1+.D1	alpaca		02-D1
2	D2	1.0	027i	R3i	1+.D2	alpaca		02-D2
2	D3	1.0	027i	R3i	1+.D3	alpaca		02-D3
2	D4	1.0	027i	R3i	1+.D4	alpaca		02-D4
2	D5	1.0	027i	R3i	1+.D5	alpaca		02-D5
2	D6	1.0	027i	R3i	1+.D6	alpaca		02-D6
2	D7	1.0	027i	R3i	1+.D7	alpaca		02-D7
2	D8	1.0	027i	R3i	1+.D8	alpaca		02-D8
2	D9	1.0	027i	R3i	1+.D9	alpaca		02-D9
2	D10	1.0	027i	R3i	1+.D10	alpaca		02-D10
2	D11	1.0	027i	R3i	1+.D11	alpaca		02-D11
2	D12	1.0	027i	R3i	1+.D12	alpaca		02-D12
2	E1	1.0	027i	R3i	1+.E1	alpaca		02-E1
2	E2	1.0	027i	R3i	1+.E2	alpaca		02-E2
2	E3	1.0	027i	R3i	1+.E3	alpaca		02-E3
2	E4	1.0	027i	R3i	1+.E4	alpaca		02-E4
2	E5	1.0	027i	R3i	1+.E5	alpaca		02-E5
2	E6	1.0	027i	R3i	1+.E6	alpaca		02-E6
2	E7	1.0	027i	R3i	1+.E7	alpaca		02-E7
2	E8	1.0	027i	R3i	1+.E8	alpaca		02-E8
2	E9	1.0	027i	R3i	1+.E9	alpaca		02-E9
2	E10	1.0	027i	R3i	1+.E10	alpaca		02-E10
2	E11	1.0	027i	R3i	1+.E11	alpaca		02-E11
2	E12	1.0	027i	R3i	1+.E12	alpaca		02-E12
2	F1	1.0	027i	R3i	1+.F1	alpaca		02-F1
2	F2	1.0	027i	R3i	1+.F2	alpaca		02-F2
2	F3	1.0	027i	R3i	1+.F3	alpaca		02-F3
2	F4	1.0	027i	R3i	1+.F4	alpaca		02-F4
2	F5	1.0	027i	R3i	1+.F5	alpaca		02-F5
2	F6	1.0	027i	R3i	1+.F6	alpaca		02-F6
2	F7	1.0	027i	R3i	1+.F7	alpaca		02-F7
2	F8	1.0	027i	R3i	1+.F8	alpaca		02-F8
2	F9	1.0	027i	R3i	1+.F9	alpaca		02-F9
2	F10	1.0	027i	R3i	1+.F10	alpaca		02-F10
2	F11	1.0	027i	R3i	1+.F11	alpaca		02-F11
2	F12	1.0	027i	R3i	1+.F12	alpaca		02-F12
2	G1	1.0	027i	R3i	1+.G1	alpaca		02-G1
2	G2	1.0	027i	R3i	1+.G2	alpaca		02-G2
2	G3	1.0	027i	R3i	1+.G3	alpaca		02-G3
2	G4	1.0	027i	R3i	1+.G4	alpaca		02-G4
2	G5	1.0	027i	R3i	1+.G5	alpaca		02-G5
2	G6	1.0	027i	R3i	1+.G6	alpaca		02-G6
2	G7	1.0	027i	R3i	1+.G7	alpaca		02-G7
2	G8	1.0	027i	R3i	1+.G8	alpaca		02-G8
2	G9	1.0	027i	R3i	1+.G9	alpaca		02-G9
2	G10	1.0	027i	R3i	1+.G10	alpaca		02-G10
2	G11	1.0	027i	R3i	1+.G11	alpaca		02-G11
2	G12	1.0	027i	R3i	1+.G12	alpaca		02-G12
2	H1	1.0	027i	R3i	1+.H1	alpaca		02-H1
2	H2	1.0	027i	R3i	1+.H2	alpaca		02-H2
2	H3	1.0	027i	R3i	1+.H3	alpaca		02-H3
2	H4	1.0	027i	R3i	1+.H4	alpaca		02-H4
2	H9	1.0	027i	R3i	1+.H9	alpaca		02-H9
2	H10	1.0	027i	R3i	1+.H10	alpaca		02-H10
2	H11	1.0	027i	R3i	1+.H11	alpaca		02-H11
2	H12	1.0	027i	R3i	1+.H12	alpaca		02-H12
3	A1	1.0	027i	R4i	1+.A1	alpaca		03-A1
3	A2	1.0	027i	R4i	1+.A2	alpaca		03-A2
3	A3	1.0	027i	R4i	1+.A3	alpaca		03-A3
3	A5	1.0	027i	R4i	1+.A5	alpaca		03-A5
3	A6	1.0	027i	R4i	1+.A6	alpaca		03-A6
3	A7	1.0	027i	R4i	1+.A7	alpaca		03-A7
3	A8	1.0	027i	R4i	1+.A8	alpaca		03-A8
3	A9	1.0	027i	R4i	1+.A9	alpaca		03-A9
3	A10	1.0	027i	R4i	1+.A10	alpaca		03-A10
3	A11	1.0	027i	R4i	1+.A11	alpaca		03-A11
3	A12	1.0	027i	R4i	1+.A12	alpaca		03-A12
3	B1	1.0	027i	R4i	1+.B1	alpaca		03-B1
3	B2	1.0	027i	R4i	1+.B2	alpaca		03-B2
3	B4	1.0	027i	R4i	1+.B4	alpaca		03-B4
3	B5	1.0	027i	R4i	1+.B5	alpaca		03-B5
3	B6	1.0	027i	R4i	1+.B6	alpaca		03-B6
3	B7	1.0	027i	R4i	1+.B7	alpaca		03-B7
3	B8	1.0	027i	R4i	1+.B8	alpaca		03-B8
3	B9	1.0	027i	R4i	1+.B9	alpaca		03-B9
3	B10	1.0	027i	R4i	1+.B10	alpaca		03-B10
3	B11	1.0	027i	R4i	1+.B11	alpaca		03-B11
3	B12	1.0	027i	R4i	1+.B12	alpaca		03-B12
3	C1	1.0	027i	R4i	1+.C1	alpaca		03-C1
3	C2	1.0	027i	R4i	1+.C2	alpaca		03-C2
3	C3	1.0	027i	R4i	1+.C3	alpaca		03-C3
3	C4	1.0	027i	R4i	1+.C4	alpaca		03-C4
3	C5	1.0	027i	R4i	1+.C5	alpaca		03-C5
3	C6	1.0	027i	R4i	1+.C6	alpaca		03-C6
3	C7	1.0	027i	R4i	1+.C7	alpaca		03-C7
3	C8	1.0	027i	R4i	1+.C8	alpaca		03-C8
3	C9	1.0	027i	R4i	1+.C9	alpaca		03-C9
3	C10	1.0	027i	R4i	1+.C10	alpaca		03-C10
3	C11	1.0	027i	R4i	1+.C11	alpaca		03-C11
3	C12	1.0	027i	R4i	1+.C12	alpaca		03-C12
3	D1	1.0	027i	R4i	1+.D1	alpaca		03-D1
3	D2	1.0	027i	R4i	1+.D2	alpaca		03-D2
3	D3	1.0	027i	R4i	1+.D3	alpaca		03-D3
3	D4	1.0	027i	R4i	1+.D4	alpaca		03-D4
3	D5	1.0	027i	R4i	1+.D5	alpaca		03-D5
3	D6	1.0	027i	R4i	1+.D6	alpaca		03-D6
3	D7	1.0	027i	R4i	1+.D7	alpaca		03-D7
3	D8	1.0	027i	R4i	1+.D8	alpaca		03-D8
3	D9	1.0	027i	R4i	1+.D9	alpaca		03-D9
3	D10	1.0	027i	R4i	1+.D10	alpaca		03-D10
3	D11	1.0	027i	R4i	1+.D11	alpaca		03-D11
3	D12	1.0	027i	R4i	1+.D12	alpaca		03-D12
3	E1	1.0	027i	R4i	1+.E1	alpaca		03-E1
3	E2	1.0	027i	R4i	1+.E2	alpaca		03-E2
3	E3	1.0	027i	R4i	1+.E3	alpaca		03-E3
3	E4	1.0	027i	R4i	1+.E4	alpaca		03-E4
3	E5	1.0	027i	R4i	1+.E5	alpaca		03-E5
3	E6	1.0	027i	R4i	1+.E6	alpaca		03-E6
3	E7	1.0	027i	R4i	1+.E7	alpaca		03-E7
3	E8	1.0	027i	R4i	1+.E8	alpaca		03-E8
3	E9	1.0	027i	R4i	1+.E9	alpaca		03-E9
3	E10	1.0	027i	R4i	1+.E10	alpaca		03-E10
3	E11	1.0	027i	R4i	1+.E11	alpaca		03-E11
3	E12	1.0	027i	R4i	1+.E12	alpaca		03-E12
3	F1	1.0	027i	R4i	1+.F1	alpaca		03-F1
3	F2	1.0	027i	R4i	1+.F2	alpaca		03-F2
3	F3	1.0	027i	R4i	1+.F3	alpaca		03-F3
3	F4	1.0	027i	R4i	1+.F4	alpaca		03-F4
3	F5	1.0	027i	R4i	1+.F5	alpaca		03-F5
3	F6	1.0	027i	R4i	1+.F6	alpaca		03-F6
3	F7	1.0	027i	R4i	1+.F7	alpaca		03-F7
3	F8	1.0	027i	R4i	1+.F8	alpaca		03-F8
3	F9	1.0	027i	R4i	1+.F9	alpaca		03-F9
3	F10	1.0	027i	R4i	1+.F10	alpaca		03-F10
3	F11	1.0	027i	R4i	1+.F11	alpaca		03-F11
3	F12	1.0	027i	R4i	1+.F12	alpaca		03-F12
3	G1	1.0	027i	R4i	1+.G1	alpaca		03-G1
3	G2	1.0	027i	R4i	1+.G2	alpaca		03-G2
3	G3	1.0	027i	R4i	1+.G3	alpaca		03-G3
