,Round,In_Out,Plate,Sample,Vol,C_Dilution,C_Count,C_pfu/mL,C_pfu/well,C_log(pfu/mL),C_log(pfu/well),C_log(change),C_log(enrichment),K_Dilution,K_Count,K_pfu/mL,K_pfu/well,K_log(pfu/mL),K_log(pfu/well),K_log(enrichment),log(carb-kan/ml),log(carb-kan/well),kind,fraction,r,plate_n,sample_full
161,R2,in,1+,A6,0.2,-8.0,82.0,8200000000000.0,1640000000000.0,12.913813852383717,12.214843848047698,,,,,,,,,,,,+,i,2,1,1.A6
162,R2,out,1+,A1,0.2,-3.0,42.0,42000000.0,8400000.0,7.623249290397901,6.924279286061882,5.117113399096343,0.13188759656362858,,,,,,,,,,+,+,2,1,1.A1
163,R2,out,1+,A2,0.2,-3.0,62.0,62000000.0,12400000.0,7.7923916894982534,7.093421685162235,5.058866659220821,0.4913616938342722,,,,,,,,,,+,+,2,1,1.A2
164,R2,out,1+,A3,0.2,-3.0,46.0,46000000.0,9200000.0,7.662757831681574,6.963787827345556,4.679664849140632,0.36172783601759306,,,,,,,,,,+,+,2,1,1.A3
165,R2,out,1+,A4,0.2,-4.0,37.0,370000000.0,74000000.0,8.568201724066995,7.869231719730976,4.0445821326527405,1.568201724066995,,,,,,,,,,+,+,2,1,1.A4
166,R2,out,1+,A5,0.2,-3.0,60.0,60000000.0,12000000.0,7.778151250383644,7.079181246047625,5.021189299069938,0.36317790241282566,,,,,,,,,,+,+,2,1,1.A5
167,R2,out,1+,A6,0.2,-4.0,40.0,400000000.0,80000000.0,8.602059991327963,7.903089986991944,4.311753861055754,1.0705810742857071,,,,,,,,,,+,+,2,1,1.A6
168,R2,in,1+,C1,0.2,-8.0,65.0,6500000000000.0,1300000000000.0,12.812913356642856,12.113943352306837,,,,,,,,,,,,+,i,2,1,1.C1
169,R2,in,1+,C2,0.2,-8.0,74.0,7400000000000.0,1480000000000.0,12.869231719730976,12.170261715394957,,,,,,,,,,,,+,i,2,1,1.C2
170,R2,in,1+,C3,0.2,-8.0,60.0,6000000000000.0,1200000000000.0,12.778151250383644,12.079181246047625,,,,,,,,,,,,+,i,2,1,1.C3
171,R2,in,1+,C4,0.2,-8.0,37.0,3700000000000.0,740000000000.0,12.568201724066995,11.869231719730976,,,,,,,,,,,,+,i,2,1,1.C4
172,R2,in,1+,C5,0.2,-8.0,46.0,4600000000000.0,920000000000.0,12.662757831681574,11.963787827345556,,,,,,,,,,,,+,i,2,1,1.C5
173,R2,in,1+,C6,0.2,-8.0,42.0,4200000000000.0,840000000000.0,12.6232492903979,11.924279286061882,,,,,,,,,,,,+,i,2,1,1.C6
174,R2,out,1+,C1,0.2,-4.0,25.0,250000000.0,50000000.0,8.397940008672037,7.698970004336019,4.414973347970818,1.3565473235138121,,,,,,,,,,+,+,2,1,1.C1
175,R2,out,1+,C2,0.2,-4.0,40.0,400000000.0,80000000.0,8.602059991327963,7.903089986991944,4.267171728403014,1.2403321553103694,,,,,,,,,,+,+,2,1,1.C2
176,R2,out,1+,C3,0.2,-5.0,75.0,7500000000.0,1500000000.0,9.8750612633917,9.176091259055681,2.9030899869919438,2.513333427374107,,,,,,,,,,+,+,2,1,1.C3
177,R2,out,1+,C4,0.2,-4.0,97.0,970000000.0,194000000.0,8.986771734266245,8.287801729930226,3.58142998980075,2.03252922482692,,,,,,,,,,+,+,2,1,1.C4
178,R2,out,1+,C5,0.2,-4.0,75.0,750000000.0,150000000.0,8.8750612633917,8.176091259055681,3.787696568289874,1.513333427374107,,,,,,,,,,+,+,2,1,1.C5
179,R2,out,1+,C6,0.2,-4.0,73.0,730000000.0,146000000.0,8.863322860120457,8.164352855784436,3.7599264302774458,1.749379507813618,,,,,,,,,,+,+,2,1,1.C6
180,R2,in,1+,E1,0.2,-8.0,59.0,5900000000000.0,1180000000000.0,12.770852011642145,12.071882007306126,,,,,,,,,,,,+,i,2,1,1.E1
181,R2,in,1+,E2,0.2,-7.0,94.0,940000000000.0,188000000000.0,11.9731278535997,11.27415784926368,,,,,,,,,,,,+,i,2,1,1.E2
182,R2,in,1+,E3,0.2,-8.0,50.0,5000000000000.0,1000000000000.0,12.698970004336019,12.0,,,,,,,,,,,,+,i,2,1,1.E3
183,R2,in,1+,E4,0.2,-8.0,67.0,6700000000000.0,1340000000000.0,12.826074802700827,12.127104798364808,,,,,,,,,,,,+,i,2,1,1.E4
184,R2,in,1+,E5,0.2,-8.0,500.0,50000000000000.0,10000000000000.0,13.698970004336019,13.0,,,,,,,,,,,,+,i,2,1,1.E5
185,R2,in,1+,E6,0.2,-8.0,500.0,50000000000000.0,10000000000000.0,13.698970004336019,13.0,,,,,,,,,,,,+,i,2,1,1.E6
186,R2,out,1+,E1,0.2,-3.0,50.0,50000000.0,10000000.0,7.698970004336019,7.0,5.071882007306126,-0.02530586526477041,,,,,,,,,,+,+,2,1,1.E1
187,R2,out,1+,E2,0.2,-3.0,66.0,66000000.0,13200000.0,7.819543935541868,7.12057393120585,4.153583918057831,0.09526806594107917,,,,,,,,,,+,+,2,1,1.E2
188,R2,out,1+,E3,0.2,-3.0,76.0,76000000.0,15200000.0,7.880813592280791,7.181843587944773,4.818156412055227,0.011581872549815131,,,,,,,,,,+,+,2,1,1.E3
189,R2,out,1+,E4,0.2,-3.0,82.0,82000000.0,16400000.0,7.913813852383717,7.214843848047698,4.91226095031711,0.29056456198581593,,,,,,,,,,+,+,2,1,1.E4
190,R2,out,1+,E5,0.2,-3.0,82.0,82000000.0,16400000.0,7.913813852383717,7.214843848047698,5.785156151952302,0.5336026106721103,,,,,,,,,,+,+,2,1,1.E5
191,R2,out,1+,E6,0.2,-3.0,89.0,89000000.0,17800000.0,7.949390006644912,7.250420002308894,5.749579997691106,0.1569983171466589,,,,,,,,,,+,+,2,1,1.E6
192,R2,in,1+,G1,0.2,-8.0,38.0,3800000000000.0,760000000000.0,12.57978359661681,11.880813592280791,,,,,,,,,,,,+,i,2,1,1.G1
193,R2,in,1+,G2,0.2,-8.0,58.0,5800000000000.0,1160000000000.0,12.763427993562937,12.064457989226918,,,,,,,,,,,,+,i,2,1,1.G2
194,R2,in,1+,G3,0.2,-8.0,67.0,6700000000000.0,1340000000000.0,12.826074802700827,12.127104798364808,,,,,,,,,,,,+,i,2,1,1.G3
195,R2,in,1+,G4,0.2,-8.0,45.0,4500000000000.0,900000000000.0,12.653212513775344,11.954242509439325,,,,,,,,,,,,+,i,2,1,1.G4
196,R2,in,1+,G5,0.2,-8.0,80.0,8000000000000.0,1600000000000.0,12.903089986991944,12.204119982655925,,,,,,,,,,,,+,i,2,1,1.G5
197,R2,in,1+,G6,0.2,-8.0,89.0,8900000000000.0,1780000000000.0,12.949390006644913,12.250420002308894,,,,,,,,,,,,+,i,2,1,1.G6
198,R2,out,1+,G1,0.2,-2.0,67.0,6700000.0,1340000.0,6.826074802700826,6.127104798364807,5.753708793915984,-0.5541364390107804,,,,,,,,,,+,+,2,1,1.G1
199,R2,out,1+,G2,0.2,-2.0,78.0,7800000.0,1560000.0,6.892094602690481,6.193124598354461,5.871333390872457,-0.5850266520291827,,,,,,,,,,+,+,2,1,1.G2
200,R2,out,1+,G3,0.2,-3.0,61.0,61000000.0,12200000.0,7.785329835010767,7.086359830674748,5.04074496769006,-0.20144189925547806,,,,,,,,,,+,+,2,1,1.G3
201,R2,out,1+,G4,0.2,-3.0,59.0,59000000.0,11800000.0,7.770852011642144,7.071882007306125,4.8823605021332,0.0987541537064267,,,,,,,,,,+,+,2,1,1.G4
202,R2,out,1+,G5,0.2,-2.0,90.0,9000000.0,1800000.0,6.954242509439325,6.2552725051033065,5.948847477552619,-1.1026623418971475,,,,,,,,,,+,+,2,1,1.G5
203,R2,out,1+,G6,0.2,-2.0,119.0,11900000.0,2380000.0,7.075546961392531,6.376576957056512,5.873843045252382,-0.5776655523828129,,,,,,,,,,+,+,2,1,1.G6
204,R2,in,2+,A1,0.2,-7.0,24.0,240000000000.0,48000000000.0,11.380211241711606,10.681241237375588,,,,,,,,,,,,+,i,2,2,2.A1
205,R2,in,2+,A2,0.2,-7.0,28.0,280000000000.0,56000000000.0,11.44715803134222,10.7481880270062,,,,,,,,,,,,+,i,2,2,2.A2
206,R2,in,2+,A3,0.2,-7.0,38.0,380000000000.0,76000000000.0,11.57978359661681,10.880813592280791,,,,,,,,,,,,+,i,2,2,2.A3
207,R2,in,2+,A4,0.2,-7.0,56.0,560000000000.0,112000000000.0,11.7481880270062,11.049218022670182,,,,,,,,,,,,+,i,2,2,2.A4
208,R2,in,2+,A5,0.2,-7.0,67.0,670000000000.0,134000000000.0,11.826074802700827,11.127104798364808,,,,,,,,,,,,+,i,2,2,2.A5
209,R2,in,2+,A6,0.2,-7.0,40.0,400000000000.0,80000000000.0,11.602059991327963,10.903089986991944,,,,,,,,,,,,+,i,2,2,2.A6
210,R2,out,2+,A1,0.2,-2.0,61.0,6100000.0,1220000.0,6.785329835010767,6.086359830674748,4.594881406700839,-0.9222403410871696,,,,,,,,,,+,+,2,2,2.A1
211,R2,out,2+,A2,0.2,-2.0,60.0,6000000.0,1200000.0,6.778151250383644,6.079181246047625,4.669006780958576,-0.8750612633917001,,,,,,,,,,+,+,2,2,2.A2
212,R2,out,2+,A3,0.2,-2.0,58.0,5800000.0,1160000.0,6.763427993562937,6.064457989226918,4.816355603053873,-1.0289636959353166,,,,,,,,,,+,+,2,2,2.A3
213,R2,out,2+,A4,0.2,-2.0,33.0,3300000.0,660000.0,6.518513939877887,5.819543935541868,5.229674087128314,-1.3265841001363698,,,,,,,,,,+,+,2,2,2.A4
214,R2,out,2+,A5,0.2,-2.0,61.0,6100000.0,1220000.0,6.785329835010767,6.086359830674748,5.04074496769006,-0.9855221766313766,,,,,,,,,,+,+,2,2,2.A5
215,R2,out,2+,A6,0.2,-2.0,92.0,9200000.0,1840000.0,6.963787827345556,6.264817823009537,4.638272163982407,-0.9338392639448854,,,,,,,,,,+,+,2,2,2.A6
216,R2,in,2+,C1,0.2,-8.0,60.0,6000000000000.0,1200000000000.0,12.778151250383644,12.079181246047625,,,,,,,,,,,,+,i,2,2,2.C1
217,R2,in,2+,C2,0.2,-8.0,68.0,6800000000000.0,1360000000000.0,12.832508912706237,12.133538908370218,,,,,,,,,,,,+,i,2,2,2.C2
218,R2,in,2+,C3,0.2,-8.0,60.0,6000000000000.0,1200000000000.0,12.778151250383644,12.079181246047625,,,,,,,,,,,,+,i,2,2,2.C3
